Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank,Borough
2024,QN1402,Rockaway Beach-Arverne-Edgemere,130908.311916176,0.13,0.08,0.12,4.99072347684533,110.0,Queens
2024,BX0602,Tremont,133582.376880787,0.31,0.12,0.16,5.82456782575,44.0,Bronx
2024,BK1203,Kensington,134106.636078983,0.13,0.06,0.14,4.3827307621351,162.0,Brooklyn
2024,BK0301,Bedford-Stuyvesant (West),135253.042853221,0.15,0.08,0.1,5.48394921641926,66.0,Brooklyn
2024,MN0401,Chelsea-Hudson Yards,137935.026312181,0.13,0.04,0.12,4.84364669358152,124.0,Manhattan
2024,BX0401,Concourse-Concourse Village,164336.115257317,0.24,0.11,0.19,5.9895667657179,34.0,Bronx
2024,QN1002,Ozone Park,179951.213967933,0.14,0.06,0.14,4.37781893397637,163.0,Queens
2024,QN0102,Old Astoria-Hallets Point,186568.428573818,0.2,0.07,0.18,4.55811143976032,147.0,Queens
2024,QN1401,Far Rockaway-Bayswater,196153.687897905,0.15,0.1,0.15,5.63292734565265,56.0,Queens
2024,BK0203,Fort Greene,206956.359068725,0.16,0.08,0.11,5.24966435592197,86.0,Brooklyn
2024,SI0104,West New Brighton-Silver Lake-Grymes Hill,211285.981123685,0.13,0.05,0.1,4.61628664167932,140.0,Staten Island
2024,BK0801,Prospect Heights,225139.334952099,0.11,0.05,0.09,4.4999270495208,154.0,Brooklyn
2024,QN0802,Pomonok-Electchester-Hillcrest,235171.562118469,0.11,0.09,0.14,4.6121829934863,141.0,Queens
2024,QN0805,Jamaica Hills-Briarwood,236913.919203757,0.14,0.1,0.19,5.53889529134762,65.0,Queens
2024,BX0303,Crotona Park East,263135.366761935,0.3,0.12,0.16,6.05423306528026,30.0,Bronx
2024,BK1602,Brownsville,264481.253347579,0.24,0.15,0.14,6.26383566019991,26.0,Brooklyn
2024,BX1203,Wakefield-Woodlawn,267710.479347753,0.14,0.09,0.15,5.63506926621598,55.0,Bronx
2024,MN0901,Morningside Heights,280284.611808665,0.22,0.1,0.19,5.59118713535406,62.0,Manhattan
2024,BX0902,Soundview-Clason Point,286372.335433197,0.18,0.11,0.11,5.63000181084808,57.0,Bronx
2024,MN0101,Financial District-Battery Park City,314777.624452469,0.11,0.03,0.11,4.23490359196029,170.0,Manhattan
2024,MN0501,Midtown South-Flatiron-Union Square,328044.248152163,0.16,0.05,0.13,4.94741048146192,115.0,Manhattan
2024,BK0201,Brooklyn Heights,328348.686293237,0.09,0.04,0.1,4.30632921294627,166.0,Brooklyn
2024,BK0204,Clinton Hill,340224.071777244,0.16,0.08,0.1,5.33938203424585,81.0,Brooklyn
2024,SI0301,Oakwood-Richmondtown,350084.031445635,0.09,0.06,0.09,5.08943033518437,102.0,Staten Island
2024,QN1001,South Ozone Park,350132.216382029,0.12,0.09,0.18,5.81927800578431,45.0,Queens
2024,QN1103,Douglaston-Little Neck,390005.260015002,0.11,0.06,0.12,4.44786677273409,156.0,Queens
2024,QN0602,Forest Hills,391756.114927888,0.11,0.05,0.17,4.58272186891721,146.0,Queens
2024,SI0303,Arden Heights-Rossville,401549.061887008,0.06,0.05,0.08,4.4403027640458,157.0,Staten Island
2024,QN0503,Glendale,403126.466096739,0.18,0.05,0.15,4.91395833272884,117.0,Queens
2024,QN0303,North Corona,408109.16378363,0.14,0.03,0.4,5.24621777424288,87.0,Queens
2024,MN0602,Gramercy,409660.795451855,0.11,0.03,0.1,4.50334185904662,153.0,Manhattan
2024,BX1103,Pelham Gardens,424274.160265096,0.14,0.07,0.13,5.45757235983705,71.0,Bronx
2024,MN0203,West Village,432042.500262847,0.11,0.07,0.1,4.73678229360039,127.0,Manhattan
2024,MN0102,Tribeca-Civic Center,433216.924966088,0.12,0.03,0.11,4.97311961217743,111.0,Manhattan
2024,BX0904,Parkchester,471602.002560945,0.11,0.12,0.15,5.60252037530932,60.0,Bronx
2024,MN0601,Stuyvesant Town-Peter Cooper Village,478205.898280849,0.15,0.03,0.13,4.66024756829564,136.0,Manhattan
2024,SI0305,Tottenville-Charleston,479338.208041954,0.14,0.01,0.07,4.33856004796434,164.0,Staten Island
2024,MN0201,SoHo-Little Italy-Hudson Square,484433.165313419,0.16,0.03,0.13,5.06147874644842,105.0,Manhattan
2024,QN0703,Bay Terrace-Clearview,496859.425163496,0.1,0.06,0.1,4.58448349503834,145.0,Queens
2024,SI0202,New Dorp-Midland Beach,503396.999258581,0.08,0.05,0.16,5.12692924729461,99.0,Staten Island
2024,QN1301,Glen Oaks-Floral Park-New Hyde Park,513304.272476398,0.11,0.04,0.14,4.43348647846449,158.0,Queens
2024,QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,527585.881659528,0.18,0.06,0.08,5.11336780588484,100.0,Queens
2024,BX1201,Williamsbridge-Olinville,529490.943682675,0.2,0.11,0.16,5.88143638055068,41.0,Bronx
2024,MN0202,Greenwich Village,544779.61348278,0.12,0.06,0.11,4.87776015544373,121.0,Manhattan
2024,MN0604,East Midtown-Turtle Bay,549673.341568676,0.08,0.05,0.13,4.68835430232572,130.0,Manhattan
2024,BK0703,Sunset Park (Central),550368.431775196,0.13,0.07,0.33,5.24557630438336,88.0,Brooklyn
2024,QN1104,Oakland Gardens-Hollis Hills,557888.94461516,0.1,0.04,0.13,4.54263591223383,148.0,Queens
2024,SI0107,Mariner's Harbor-Arlington-Graniteville,558873.90870492,0.11,0.07,0.13,5.2628293585321,85.0,Staten Island
2024,BX0502,Mount Hope,564181.73624832,0.19,0.14,0.24,6.56550126271332,15.0,Bronx
2024,BX1004,Co-op City,569393.634003479,0.12,0.09,0.09,4.75947396621392,126.0,Bronx
2024,QN0705,East Flushing,587362.705388957,0.21,0.07,0.3,4.8733761931781,122.0,Queens
2024,QN1302,Bellerose,619017.953295808,0.11,0.06,0.16,5.30750518013123,83.0,Queens
2024,BX0802,Kingsbridge-Marble Hill,619047.2279812,0.13,0.09,0.16,5.1866450810476,93.0,Bronx
2024,SI0302,Great Kills-Eltingville,626867.927335842,0.08,0.05,0.08,4.67062148507492,135.0,Staten Island
2024,BX0701,University Heights (North)-Fordham,628483.75923519,0.25,0.13,0.24,6.31200941745232,24.0,Bronx
2024,SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,643446.110165481,0.12,0.05,0.12,5.1766599171394,95.0,Staten Island
2024,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,657390.95234301,0.17,0.07,0.11,5.38948829774023,76.0,Brooklyn
