year_pulled,congressional_district_name,state,fipscd,fips,hh_snap,hh_total,hh_snap_pct,hh_poverty_pct_in_snap,hh_race_aian_pct_in_snap,hh_race_asian_pct_in_snap,hh_race_black_pct_in_snap,hh_race_hisp_pct_in_snap,hh_race_nhpi_pct_in_snap,hh_race_other_pct_in_snap,hh_race_twoplus_pct_in_snap,hh_race_white_pct_in_snap,hh_60plus_pct,hh_snap_60plus,hh_snap_60plus_pct,hh_snap_children,hh_snap_children_pct,hh_snap_disabled,hh_snap_disabled_pct,hh_snap_poverty,hh_snap_poverty_pct,hh_snap_race_aian,hh_snap_race_aian_pct,hh_snap_race_asian,hh_snap_race_asian_pct,hh_snap_race_black,hh_snap_race_black_pct,hh_snap_race_hisp,hh_snap_race_hisp_pct,hh_snap_race_nhpi,hh_snap_race_nhpi_pct,hh_snap_race_other,hh_snap_race_other_pct,hh_snap_race_twoplus,hh_snap_race_twoplus_pct,hh_snap_race_white,hh_snap_race_white_pct,hh_total_60plus,hh_total_disabled,hh_total_disabled_pct,hh_total_poverty,hh_total_poverty_pct,hh_total_race_aian,hh_total_race_aian_pct,hh_total_race_asian,hh_total_race_asian_pct,hh_total_race_black,hh_total_race_black_pct,hh_total_race_hisp,hh_total_race_hisp_pct,hh_total_race_nhpi,hh_total_race_nhpi_pct,hh_total_race_other,hh_total_race_other_pct,hh_total_race_twoplus,hh_total_race_twoplus_pct,hh_total_race_white,hh_total_race_white_pct,medhhinc,state_hh_snap,state_hh_total,state_hh_snap_pct
2023,"Congressional District 8 (118th Congress), Massachusetts",Massachusetts,2508,25,44866,330944,0.1356,0.4457,NULL,0.1796,0.3355,0.2598,NULL,0.2780,0.2624,0.0863,0.4024,22123,0.4931,13991,0.3118,22715,0.5063,16410,0.3658,NULL,NULL,5496,0.1225,9620,0.2144,5176,0.1154,NULL,NULL,3609,0.0804,5687,0.1268,20396,0.4546,133161,75606,0.2285,36816,0.1112,NULL,NULL,30597,0.0925,28677,0.0867,19925,0.0602,NULL,NULL,12982,0.0392,21677,0.0655,236278,0.7140,114053,439293,2800984,0.1568
2023,"Congressional District 3 (118th Congress), Illinois",Illinois,1703,17,37293,275205,0.1355,0.4566,0.1949,0.1066,0.2842,0.2134,NULL,0.2380,0.1620,0.0803,0.3704,14454,0.3876,20466,0.5488,16608,0.4453,14912,0.3999,685,0.0184,2089,0.0560,3989,0.1070,22140,0.5937,NULL,NULL,11440,0.3068,6776,0.1817,11863,0.3181,101932,64015,0.2326,32662,0.1187,3515,0.0128,19589,0.0712,14034,0.0510,103768,0.3771,NULL,NULL,48069,0.1747,41822,0.1520,147725,0.5368,83552,717106,5071288,0.1414
2023,"Congressional District 9 (118th Congress), Ohio",Ohio,3909,39,45281,335877,0.1348,0.4796,NULL,0.0188,0.3390,0.1540,NULL,0.1592,0.1956,0.1029,0.4382,16528,0.3650,19980,0.4412,23588,0.5209,23640,0.5221,NULL,NULL,87,0.0019,12893,0.2847,3230,0.0713,NULL,NULL,835,0.0184,3992,0.0882,27459,0.6064,147178,100616,0.2996,49291,0.1468,NULL,NULL,4628,0.0138,38030,0.1132,20971,0.0624,NULL,NULL,5246,0.0156,20411,0.0608,266809,0.7944,63370,611620,4917309,0.1244
2023,"Congressional District 1 (118th Congress), Oklahoma",Oklahoma,4001,40,43495,323395,0.1345,0.4569,0.1597,0.1895,0.2887,0.1758,0.3821,0.1742,0.1785,0.1006,0.3825,12870,0.2959,21454,0.4933,21986,0.5055,21295,0.4896,2702,0.0621,1617,0.0372,7988,0.1837,6076,0.1397,162,0.0037,1640,0.0377,7284,0.1675,22102,0.5082,123690,96423,0.2982,46607,0.1441,16922,0.0523,8532,0.0264,27670,0.0856,34556,0.1069,424,0.0013,9415,0.0291,40810,0.1262,219622,0.6791,67384,239309,1589105,0.1506
2023,"Congressional District 8 (118th Congress), Missouri",Missouri,2908,29,41373,307991,0.1343,0.4208,0.2553,0.1276,0.2780,0.1345,NULL,0.0434,0.1970,0.1261,0.4474,16090,0.3889,17397,0.4205,23855,0.5766,19378,0.4684,194,0.0047,271,0.0066,2644,0.0639,687,0.0166,NULL,NULL,78,0.0019,3075,0.0743,35059,0.8474,137809,106401,0.3455,46049,0.1495,760,0.0025,2124,0.0069,9512,0.0309,5108,0.0166,NULL,NULL,1796,0.0058,15609,0.0507,278071,0.9029,60102,246107,2556271,0.0963
2023,"Congressional District 8 (118th Congress), California",California,0608,06,35220,262450,0.1342,0.3723,0.0921,0.1181,0.2249,0.1318,0.0000,0.1414,0.1476,0.0930,0.4525,18300,0.5196,15213,0.4319,18812,0.5341,10924,0.3102,258,0.0073,5502,0.1562,9613,0.2729,10158,0.2884,0,0.0000,5713,0.1622,5930,0.1684,8204,0.2329,118762,75569,0.2879,29345,0.1118,2801,0.0107,46597,0.1775,42749,0.1629,77077,0.2937,1490,0.0057,40391,0.1539,40182,0.1531,88240,0.3362,95265,1833346,13699816,0.1338
2023,"Congressional District 1 (118th Congress), Oregon",Oregon,4101,41,41401,310113,0.1335,0.4130,0.3323,0.0877,0.3032,0.2139,NULL,0.2526,0.1765,0.1181,0.3418,14128,0.3412,14090,0.3403,22443,0.5421,13216,0.3192,873,0.0211,2590,0.0626,2546,0.0615,8284,0.2001,NULL,NULL,3322,0.0802,5703,0.1378,26367,0.6369,106009,74253,0.2394,31999,0.1032,2627,0.0085,29534,0.0952,8397,0.0271,38735,0.1249,NULL,NULL,13149,0.0424,32313,0.1042,223262,0.7199,94740,293924,1752050,0.1678
2023,"Congressional District 5 (118th Congress), Virginia",Virginia,5105,51,42744,320545,0.1333,0.4361,NULL,0.0624,0.2953,0.1359,NULL,0.1920,0.1152,0.0921,0.4727,15988,0.3740,19220,0.4497,23848,0.5579,19897,0.4655,NULL,NULL,308,0.0072,18388,0.4302,1342,0.0314,NULL,NULL,741,0.0173,1921,0.0449,21386,0.5003,151523,93121,0.2905,45621,0.1423,NULL,NULL,4937,0.0154,62272,0.1943,9874,0.0308,NULL,NULL,3859,0.0120,16671,0.0520,232308,0.7247,69333,337930,3402670,0.0993
2023,"Congressional District 5 (118th Congress), Pennsylvania",Pennsylvania,4205,42,38898,292198,0.1331,0.4148,NULL,0.1337,0.2847,0.2181,NULL,0.2746,0.1352,0.0686,0.4291,17203,0.4423,18503,0.4757,19735,0.5074,15126,0.3889,NULL,NULL,2381,0.0612,19537,0.5023,3442,0.0885,NULL,NULL,2614,0.0672,1847,0.0475,12417,0.3192,125383,79964,0.2737,36462,0.1248,NULL,NULL,17805,0.0609,68631,0.2349,15780,0.0540,NULL,NULL,9521,0.0326,13665,0.0468,181115,0.6198,81754,795490,5324209,0.1494
2023,"Congressional District 14 (118th Congress), Georgia",Georgia,1314,13,38013,286338,0.1328,0.3737,0.1618,0.0604,0.1891,0.1348,NULL,0.1157,0.1009,0.1276,0.4231,15238,0.4009,18651,0.4906,18595,0.4892,14691,0.3865,280,0.0074,162,0.0043,7156,0.1883,4149,0.1091,NULL,NULL,1988,0.0523,1962,0.0516,26465,0.6962,121140,89338,0.3120,39308,0.1373,1730,0.0060,2680,0.0094,37848,0.1322,30789,0.1075,NULL,NULL,17180,0.0600,19451,0.0679,207373,0.7242,70423,513900,4150138,0.1238
2023,"Congressional District 5 (118th Congress), Connecticut",Connecticut,0905,09,37765,284649,0.1327,0.4271,0.2904,0.0217,0.2896,0.3054,NULL,0.2311,0.2077,0.0942,0.4529,15558,0.4120,15533,0.4113,19112,0.5061,15697,0.4156,284,0.0075,189,0.0050,7208,0.1909,16119,0.4268,NULL,NULL,5250,0.1390,6317,0.1673,18517,0.4903,128920,71992,0.2529,36754,0.1291,978,0.0034,8698,0.0306,24888,0.0874,52773,0.1854,NULL,NULL,22716,0.0798,30416,0.1069,196467,0.6902,89288,172284,1442969,0.1194
2023,"Congressional District 30 (118th Congress), Texas",Texas,4830,48,39824,300614,0.1325,0.4043,NULL,0.0695,0.1954,0.1041,NULL,0.1263,0.1012,0.0589,0.3311,14635,0.3675,21138,0.5308,20549,0.5160,17896,0.4494,NULL,NULL,810,0.0203,26184,0.6575,8243,0.2070,NULL,NULL,3694,0.0928,4127,0.1036,4914,0.1234,99544,78109,0.2598,44265,0.1472,NULL,NULL,11653,0.0388,134021,0.4458,79209,0.2635,NULL,NULL,29238,0.0973,40767,0.1356,83479,0.2777,70984,1266469,11260645,0.1125
2023,"Congressional District 1 (118th Congress), Kentucky",Kentucky,2101,21,40555,308246,0.1316,0.4220,0.3641,0.0000,0.2649,0.1220,NULL,0.1958,0.1394,0.1204,0.4395,13188,0.3252,19665,0.4849,22035,0.5433,22402,0.5524,296,0.0073,0,0.0000,5466,0.1348,1007,0.0248,NULL,NULL,616,0.0152,1869,0.0461,32308,0.7966,135468,112486,0.3649,53091,0.1722,813,0.0026,1544,0.0050,20634,0.0669,8256,0.0268,NULL,NULL,3146,0.0102,13405,0.0435,268340,0.8705,54615,242405,1853603,0.1308
2023,"Congressional District 19 (118th Congress), New York",New York,3619,36,42553,323274,0.1316,0.4393,NULL,0.0954,0.2783,0.2119,NULL,0.2335,0.1558,0.1237,0.4780,18766,0.4410,15335,0.3604,22962,0.5396,21620,0.5081,NULL,NULL,607,0.0143,2720,0.0639,3384,0.0795,NULL,NULL,1208,0.0284,3179,0.0747,34766,0.8170,154521,94057,0.2910,49214,0.1522,NULL,NULL,6360,0.0197,9775,0.0302,15969,0.0494,NULL,NULL,5174,0.0160,20406,0.0631,281079,0.8695,65983,1267132,7809267,0.1623
2023,"Congressional District 5 (118th Congress), North Carolina",North Carolina,3705,37,41846,318336,0.1315,0.4251,0.2663,0.0780,0.2458,0.1818,NULL,0.1920,0.1713,0.1084,0.4663,18295,0.4372,18741,0.4479,19797,0.4731,19776,0.4726,416,0.0099,290,0.0069,9682,0.2314,3806,0.0910,NULL,NULL,1939,0.0463,2585,0.0618,26934,0.6436,148448,89921,0.2825,46518,0.1461,1562,0.0049,3719,0.0117,39387,0.1237,20938,0.0658,NULL,NULL,10099,0.0317,15087,0.0474,248390,0.7803,60759,553307,4392669,0.1260
2023,"Congressional District 1 (118th Congress), Texas",Texas,4801,48,38322,292593,0.1310,0.4002,0.2476,0.0843,0.2911,0.1739,NULL,0.1716,0.1415,0.0858,0.4515,12129,0.3165,21290,0.5556,18771,0.4898,17706,0.4620,417,0.0109,163,0.0043,15044,0.3926,6401,0.1670,NULL,NULL,1810,0.0472,3672,0.0958,17216,0.4492,132107,94549,0.3231,44244,0.1512,1684,0.0058,1934,0.0066,51677,0.1766,36802,0.1258,NULL,NULL,10549,0.0361,25955,0.0887,200693,0.6859,62182,1266469,11260645,0.1125
2023,"Congressional District 7 (118th Congress), Pennsylvania",Pennsylvania,4207,42,40011,305762,0.1309,0.4377,0.1275,0.0744,0.2205,0.3166,NULL,0.3249,0.2892,0.0885,0.4541,14883,0.3720,19470,0.4866,19455,0.4862,14411,0.3602,184,0.0046,639,0.0160,3137,0.0784,16658,0.4163,NULL,NULL,7924,0.1980,7753,0.1938,20374,0.5092,138848,84421,0.2761,32924,0.1077,1443,0.0047,8584,0.0281,14224,0.0465,52621,0.1721,NULL,NULL,24392,0.0798,26810,0.0877,230309,0.7532,79206,795490,5324209,0.1494
2023,"Congressional District 1 (118th Congress), Alabama",Alabama,0101,01,38727,296683,0.1305,0.4597,0.0514,0.0631,0.2806,0.0769,NULL,NULL,0.0506,0.0802,0.4483,14476,0.3738,18631,0.4811,14841,0.3832,19939,0.5149,87,0.0022,283,0.0073,21899,0.5655,746,0.0193,NULL,NULL,NULL,NULL,601,0.0155,15826,0.4087,132999,82388,0.2777,43376,0.1462,1694,0.0057,4482,0.0151,78032,0.2630,9702,0.0327,NULL,NULL,NULL,NULL,11883,0.0401,197329,0.6651,61856,282954,2051545,0.1379
