country,continent,life_expectancy,population,gdp,gdp_per_capita
Jordan,Asia,71.724,4827096,17686479744,3664
Kazakhstan,Asia,63.513,14956694,80257620004,5366
Kenya,Africa,52.864,31253701,41192377918,1318
Kiribati,Oceania,64.642,84010,294119010,3501
"Korea, Dem. Rep.",Asia,65.271,22894095,38668126455,1689
"Korea, Rep.",Asia,76.114,45987624,781559669880,16995
Kuwait,Asia,73.133,1940786,70638788042,36397
Kyrgyzstan,Asia,66.232,4954850,7566055950,1527
Laos,Asia,61.689,5317060,8071297080,1518
Latvia,Europe,70.16,2384972,20627622828,8649
Lebanon,Asia,74.409,3742329,21686796555,5795
Lesotho,Africa,47.265,1963878,2329159308,1186
Liberia,Africa,52.424,2847290,1477743510,519
Libya,Africa,71.872,5231189,47807836271,9139
Lithuania,Europe,72.18,3500028,33708769668,9631
Luxembourg,Europe,77.82,435491,27838326684,63924
"Macao, China",Asia,77.627,431867,9722189904,22512
"Macedonia, FYR",Europe,73.244,2009091,14013409725,6975
Madagascar,Africa,58.485,15364272,15779107344,1027
Malawi,Africa,46.04,11228756,8006103028,713
Malaysia,Asia,72.81,23414909,237918890349,10161
Maldives,Asia,69.279,273236,938019188,3433
Mali,Africa,49.061,11295324,9646206696,854
Malta,Europe,77.364,397420,8058087920,20276
Mauritania,Africa,59.729,2642743,4069824220,1540
Mauritius,Africa,71.202,1196027,9915063830,8290
Mexico,N. America,74.38,99959594,1088959817036,10894
"Micronesia, Fed. Sts.",Oceania,67.3,107103,592279590,5530
Moldova,Europe,67.007,4106736,6948597312,1692
Mongolia,Asia,62.876,2411369,4863731273,2017
Montenegro,Europe,74.125,632606,3912668110,6185
Morocco,Africa,68.22,28793236,88481614228,3073
Mozambique,Africa,47.472,18200656,9864755552,542
Myanmar,Asia,62.073,44957660,46486220440,1034
Namibia,Africa,55.173,1895839,7625064458,4022
Nepal,Asia,62.055,24400606,25718238724,1054
Netherlands,Europe,78.24,15862825,523473225000,33000
New Zealand,Oceania,78.9,3858032,84471610640,21895
Nicaragua,N. America,69.682,5073704,12633522960,2490
Niger,Africa,50.692,10922421,6302236917,577
Nigeria,Africa,46.629,123688536,200251739784,1619
Norway,Europe,78.76,4490859,193888346466,43174
Oman,Asia,72.139,2264163,43480986252,19204
Pakistan,Asia,63.854,144522192,301473292512,2086
Panama,N. America,75.094,2956126,21890113030,7405
Papua New Guinea,Oceania,58.749,5378824,9794838504,1821
Paraguay,S. America,70.073,5343539,20877206873,3907
Peru,S. America,70.506,25861887,149766187617,5791
Philippines,Asia,66.774,77309965,200851289070,2598
Poland,Europe,73.91,38302444,447372545920,11680
Portugal,Europe,76.84,10336209,202682722281,19609
Qatar,Asia,76.68,590957,35690257058,60394
Romania,Europe,70.47,22191683,157316840787,7089
Russia,Asia,65.38,146757517,1257711920690,8570
Rwanda,Africa,47.6425,8098344,5701234176,704
Saint Lucia,N. America,71.456,157108,1363069008,8676
Saint Vincent and the Grenadines,N. America,70.6,107891,635801663,5893
Samoa,Oceania,69.344,176549,722085410,4090
Sao Tome and Principe,Africa,63.336,141010,186133200,1320
Saudi Arabia,Asia,72.401,20045276,400925565276,20001
Senegal,Africa,57.817,9505862,14363357482,1511
Serbia,Europe,72.072,10133561,66952437527,6607
Seychelles,Africa,71.771,78685,1198372550,15230
Sierra Leone,Africa,38.123,4143115,2141990455,517
Singapore,Asia,78.34,3919300,144363496200,36834
Slovak Republic,Europe,73.19,5404845,68582078205,12689
Slovenia,Europe,76.11,1985406,38514890994,19399
Solomon Islands,Oceania,62.808,408732,736535064,1802
Somalia,Africa,50.902,7399033,6518548073,881
South Africa,Africa,55.892,44760380,333643872520,7454
South Sudan,Africa,49.248,6994624,13170876992,1883
Spain,Europe,79.34,40288457,943152778370,23410
Sri Lanka,Asia,71.078,18745084,56179016748,2997
Sudan,Africa,57.979,27193105,50959878770,1874
Suriname,S. America,67.851,466846,2650284742,5677
Swaziland,Africa,48.689,1063832,4277668472,4021
Sweden,Europe,79.84,8860153,253754781920,28640
